,GEOID,total_population,white_population,non_white_percent
582,360470561002,816,675,17.28
123,360470240002,1707,1412,17.28
2820,360850226014,1487,1230,17.28
5339,360470166001,1006,832,17.30
2324,360610073002,739,611,17.32
2512,360850181002,1793,1482,17.35
3726,360470045003,696,575,17.39
2494,360850170111,2531,2090,17.42
3277,360610120002,883,729,17.44
1213,360610136032,1626,1342,17.47
4060,360470067001,664,548,17.47
4201,360610149004,1189,981,17.49
3258,360610114011,776,640,17.53
4510,360610153012,969,799,17.54
1990,360610063003,1399,1152,17.66
6788,360850121001,1025,844,17.66
247,360811032022,1529,1259,17.66
4789,360470476001,1410,1161,17.66
6227,360470238003,1613,1328,17.67
6615,360610050004,1239,1020,17.68
2983,360610106012,1209,994,17.78
4788,360470474001,1870,1537,17.81
2821,360850226021,510,419,17.84
4195,360610148012,1675,1376,17.85
4848,360610161003,973,799,17.88
6593,360470610041,1453,1193,17.89
5158,360610175004,1419,1165,17.90
3201,360470356023,2022,1660,17.90
569,360470539001,346,284,17.92
6789,360850121003,1211,994,17.92
532,360850146042,1672,1372,17.94
6223,360470236002,1975,1620,17.97
3722,360470044001,1346,1104,17.98
6407,360810661001,1573,1290,17.99
2811,360850208062,1127,924,18.01
5425,360610179003,1282,1051,18.02
3272,360610118004,1964,1610,18.02
6189,360470220001,1788,1465,18.06
3421,360470003013,857,702,18.09
1958,360470646001,977,800,18.12
5131,360610169005,1075,880,18.14
1309,360610142005,632,517,18.20
2995,360610110002,983,804,18.21
6228,360470562001,840,687,18.21
3771,360470388002,1213,992,18.22
545,360850170122,1836,1501,18.25
2486,360850170051,2761,2257,18.25
897,360610077001,1265,1034,18.26
5152,360610173007,1509,1233,18.29
885,360610067004,1393,1138,18.31
2022,360610071003,983,803,18.31
5383,360470509001,2308,1885,18.33
2487,360850170052,2084,1702,18.33
3852,360610136021,1854,1514,18.34
4847,360610161002,1025,837,18.34
1437,360610169001,1373,1121,18.35
1032,360610086034,1531,1250,18.35
4200,360610149002,1088,888,18.38
5951,360470560001,1377,1123,18.45
6708,360810135001,1526,1243,18.55
884,360610067001,1579,1286,18.56
2023,360610071004,1449,1180,18.56
4051,360470065001,813,662,18.57
6565,360470591003,1136,925,18.57
4063,360470067004,742,604,18.60
3585,360610134004,1086,884,18.60
3838,360610134008,1876,1527,18.60
3856,360610136033,1670,1359,18.62
6193,360470222002,1293,1052,18.64
2283,360470700001,676,550,18.64
536,360850146082,1770,1440,18.64
3723,360470044002,1102,896,18.69
5952,360470560003,995,809,18.69
19,360470157002,1030,837,18.74
4171,360610144012,1659,1348,18.75
3166,360470001002,704,572,18.75
4061,360470067002,831,675,18.77
3368,360810973003,703,571,18.78
6416,360810665011,957,777,18.81
2499,360850170141,2683,2178,18.82
2177,360850146081,1870,1518,18.82
1306,360610140002,1991,1616,18.83
3081,360810938002,1330,1079,18.87
6576,360470596001,556,451,18.88
1334,360610157003,1833,1486,18.93
1216,360610137004,1230,997,18.94
6249,360470571003,1203,975,18.95
3554,360610126024,1476,1196,18.97
2500,360850170142,1644,1332,18.98
3260,360610114021,1449,1173,19.05
4192,360610146026,1966,1591,19.07
3085,360850248002,1588,1285,19.08
620,360850208061,1587,1284,19.09
3286,360610124002,1735,1403,19.14
3424,360470005013,804,650,19.15
5081,360470153003,819,662,19.17
2006,360610067002,1631,1318,19.19
535,360850146071,2584,2088,19.20
1950,360470632001,807,652,19.21
1317,360610148025,837,676,19.24
6692,360810123013,899,726,19.24
2024,360610071005,1226,990,19.25
2166,360850138004,1312,1059,19.28
1192,360610122003,503,406,19.28
6253,360470573001,720,581,19.31
2495,360850170112,2056,1659,19.31
2856,360050293011,1003,809,19.34
3293,360610126011,1539,1241,19.36
2818,360850226011,2597,2094,19.37
2332,360610075001,1683,1357,19.37
3587,360610134007,1461,1178,19.37
2186,360850156013,1053,849,19.37
5915,360470539002,2322,1872,19.38
3207,360470360013,1313,1058,19.42
6791,360850122003,818,659,19.44
6525,360470244002,1342,1081,19.45
4054,360470065005,627,505,19.46
3873,360610140001,1597,1286,19.47
1335,360610157006,1210,974,19.50
4866,360610165003,1520,1222,19.61
2181,360850151002,719,578,19.61
4064,360470067005,719,578,19.61
5338,360470165004,989,795,19.62
5363,360470502021,1167,938,19.62
4865,360610165002,1773,1425,19.63
4062,360470067003,662,532,19.64
1060,360610108023,1492,1199,19.64
16,360470153002,911,732,19.65
2170,360850146043,2269,1823,19.66
551,360850177013,763,613,19.66
4783,360470464001,1358,1091,19.66
1211,360610134006,1438,1155,19.68
5316,360470155002,975,783,19.69
3550,360610126015,1770,1421,19.72
1818,360470054001,1562,1254,19.72
2509,360850177014,1704,1368,19.72
3725,360470045002,765,614,19.74
6362,360810097003,866,695,19.75
4529,360610155023,758,608,19.79
866,360610049002,1445,1159,19.79
156,360810884004,904,725,19.80
4530,360610155025,717,575,19.80
4080,360470075004,812,651,19.83
2501,360850170161,2485,1992,19.84
878,360610064003,897,719,19.84
580,360470558001,1289,1033,19.86
137,360810809003,729,584,19.89
2659,360610086032,985,789,19.90
3583,360610134001,1090,873,19.91
4376,360470077004,1033,827,19.94
6419,360810667012,1237,990,19.97
5929,360470547002,1262,1010,19.97
5946,360470556001,1512,1210,19.97
4930,360811385021,85,68,20.00
4511,360610153013,1504,1203,20.01
871,360610055021,608,486,20.07
2989,360610108012,971,776,20.08
2176,360850146072,2066,1651,20.09
2445,360810779072,1611,1287,20.11
5130,360610169003,1879,1501,20.12
3867,360610138008,1978,1580,20.12
1949,360470628003,924,738,20.13
6420,360810669001,991,791,20.18
3863,360610138002,1594,1272,20.20
5953,360470561001,985,786,20.20
600,360470591002,836,667,20.22
1805,360810657032,880,702,20.23
4536,360610157004,844,673,20.26
873,360610057002,2080,1658,20.29
3208,360470360021,2049,1633,20.30
2182,360850151004,1009,804,20.32
6423,360810677002,930,741,20.32
893,360610073006,1176,937,20.32
