"","GEOID","total_population","white_population","non_white_percent"
"201","360470286002",1334,574,56.9715142428786
"202","360470286005",1268,597,52.9179810725552
"203","360470287003",1359,190,86.019131714496
"204","360470288003",1488,500,66.3978494623656
"205","360470289003",727,149,79.5048143053645
"206","360470290002",1360,623,54.1911764705882
"207","360470291001",1101,312,71.6621253405995
"208","360470292000",0,0,NA
"209","360470292003",0,0,NA
"210","360470293003",938,268,71.4285714285714
"211","360470299001",1226,194,84.1761827079935
"212","360470300001",1043,476,54.3624161073826
"213","360470300004",701,134,80.8844507845934
"214","360810934013",1042,953,8.54126679462572
"215","360810934022",857,742,13.4189031505251
"216","360810938001",1314,951,27.6255707762557
"217","360810939000",0,0,NA
"218","360810939003",1392,303,78.2327586206897
"219","360810942012",1175,182,84.5106382978723
"220","360810942021",1668,587,64.8081534772182
"221","360810942030",0,0,NA
"222","360810942033",1127,605,46.3176574977817
"223","360810945000",0,0,NA
"224","360810972043",802,25,96.8827930174564
"225","360810972061",1826,96,94.7426067907996
"226","360810972071",12,0,100
"227","360810973002",554,372,32.8519855595668
"228","360810981001",1218,719,40.9688013136289
"229","360810987001",1416,917,35.2401129943503
"230","360810991001",1863,1386,25.6038647342995
"231","360810991004",1122,845,24.6880570409982
"232","360810992001",3193,302,90.541810209834
"233","360810997012",1012,513,49.3083003952569
"234","360810997031",1427,635,55.5010511562719
"235","360810997041",1506,1034,31.3413014608234
"236","360810997044",394,188,52.2842639593909
"237","360810997051",2687,1214,54.8195013025679
"238","360810998013",1644,226,86.2530413625304
"239","360810998020",0,0,NA
"240","360811010032",866,292,66.2817551963048
"241","360811010041",1575,477,69.7142857142857
"242","360811010044",21,1,95.2380952380952
"243","360811017002",841,465,44.7086801426873
"244","360811017005",837,446,46.7144563918757
"245","360811029001",2542,1366,46.2627852084972
"246","360811032012",2226,154,93.0817610062893
"247","360811032022",1529,1259,17.6586003924133
"248","360811033001",1597,882,44.7714464621165
"249","360811033004",796,358,55.0251256281407
"250","360811039003",1272,515,59.5125786163522
"251","360811047002",1265,339,73.201581027668
"252","360811047005",1924,624,67.5675675675676
"253","360811059003",788,425,46.0659898477157
"254","360811072011",2370,2059,13.1223628691983
"255","360470301001",1192,109,90.8557046979866
"256","360470302001",1473,506,65.6483367277665
"257","360470303001",2006,56,97.2083748753739
"258","360470304000",0,0,NA
"259","360470304003",1376,561,59.2296511627907
"260","360470305003",2380,1009,57.6050420168067
"261","360470306001",2215,750,66.1399548532731
"262","360470307003",2814,268,90.4761904761905
"263","360470309002",1115,148,86.7264573991031
"264","360470311003",1082,212,80.4066543438078
"265","360470313003",1886,307,83.7221633085896
"266","360470314011",1164,535,54.0378006872852
"267","360470314014",0,0,NA
"268","360470319003",1013,316,68.8055281342547
"269","360470321003",1347,245,81.81143281366
"270","360470323002",1079,255,76.3670064874884
"271","360470325002",1454,317,78.1980742778542
"272","360470326002",2063,439,78.7203102278235
"273","360470326005",1216,155,87.2532894736842
"274","360470327003",1083,386,64.3582640812558
"275","360470328003",751,128,82.9560585885486
"276","360470329001",1510,696,53.9072847682119
"277","360470329004",1225,311,74.6122448979592
"278","360470330002",568,177,68.8380281690141
"279","360470331002",1870,923,50.6417112299465
"280","360470333002",1862,1482,20.4081632653061
"281","360470335002",1032,618,40.1162790697674
"282","360470336001",888,632,28.8288288288288
"283","360470336004",565,474,16.1061946902655
"284","360470342003",2068,682,67.0212765957447
"285","360470343002",1229,292,76.2408462164361
"286","360470343004",1426,31,97.8260869565217
"287","360470347001",1003,97,90.3290129611166
"288","360470348001",1607,484,69.8817672682016
"289","360470349012",1021,64,93.7316356513222
"290","360470349023",1131,88,92.2192749778957
"291","360470351011",2243,273,87.8288007133304
"292","360470352000",0,0,NA
"293","360470353012",613,95,84.5024469820555
"294","360470354001",1888,1733,8.20974576271187
"295","360470355001",1876,171,90.8848614072495
"296","360470355003",1857,821,55.7889068389876
"297","360811113002",751,409,45.5392809587217
"298","360811123002",1082,528,51.2014787430684
"299","360811129002",563,320,43.1616341030195
"300","360811133002",918,475,48.2570806100218
"301","360811139003",1114,511,54.1292639138241
"302","360811147001",804,345,57.089552238806
"303","360811155001",1275,342,73.1764705882353
"304","360811157002",1696,118,93.0424528301887
"305","360811159002",1036,152,85.3281853281853
"306","360811161002",2791,229,91.7950555356503
"307","360811163013",2085,238,88.5851318944844
"308","360811167001",2094,126,93.9828080229226
"309","360811171003",1158,154,86.7012089810017
"310","360811175003",800,209,73.875
"311","360811175005",806,202,74.9379652605459
"312","360811185001",1395,185,86.7383512544803
"313","360811205002",1538,114,92.5877763328999
"314","360811207021",3,0,100
"315","360811215002",1411,129,90.8575478384125
"316","360811223002",875,261,70.1714285714286
"317","360811227022",1589,212,86.6582756450598
"318","360811227025",861,88,89.7793263646922
"319","360811227033",1238,568,54.1195476575121
"320","360811227041",2024,514,74.604743083004
"321","360811227043",1523,243,84.0446487196323
"322","360811241003",1211,272,77.5392237819983
"323","360811247003",1219,512,57.9983593109106
"324","360811257003",1170,147,87.4358974358974
"325","360811267001",2929,1476,49.6073745305565
"326","360811277001",1157,794,31.3742437337943
"327","360811277004",868,626,27.8801843317972
"328","360811291022",940,500,46.8085106382979
"329","360811333004",1104,460,58.3333333333333
"330","360811341002",1390,557,59.9280575539568
"331","360811347012",2390,321,86.5690376569038
"332","360811347022",2635,424,83.9089184060721
"333","360811367002",615,346,43.739837398374
"334","360811367004",1776,553,68.8626126126126
"335","360811377001",1671,486,70.9156193895871
"336","360811377004",1185,186,84.3037974683544
"337","360811385013",1092,197,81.959706959707
"338","360470356022",2422,2303,4.91329479768786
"339","360470357021",15,3,80
"340","360470359003",1818,143,92.1342134213421
"341","360470360012",980,851,13.1632653061224
"342","360470364002",1242,774,37.6811594202899
"343","360470365021",1902,209,89.0115667718191
"344","360470366003",1481,308,79.2032410533423
"345","360470367003",697,66,90.5308464849354
"346","360470369002",1379,127,90.7904278462654
"347","360470370001",1255,957,23.7450199203187
"348","360470370003",1636,684,58.1907090464548
"349","360470371002",928,74,92.0258620689655
"350","360470371005",788,76,90.3553299492386
"351","360470373003",962,171,82.2245322245322
"352","360470374012",1107,808,27.0099367660343
"353","360470374015",1476,940,36.3143631436314
"354","360470374023",1015,523,48.4729064039409
"355","360470375002",1922,476,75.2341311134235
"356","360470377002",967,184,80.9720785935884
"357","360470379001",1029,194,81.1467444120505
"358","360470379003",1386,107,92.2799422799423
"359","360470386001",2155,1017,52.8074245939675
"360","360470387002",1021,152,85.1126346718903
"361","360470388001",1118,588,47.4060822898032
"362","360470388004",752,526,30.0531914893617
"363","360470389002",873,367,57.9610538373425
"364","360470390002",1022,907,11.252446183953
"365","360470392001",1207,939,22.2038111019056
"366","360470393002",1416,502,64.5480225988701
"367","360470394002",613,551,10.1141924959217
"368","360470395002",1685,527,68.7240356083086
"369","360470396002",1204,933,22.5083056478405
"370","360470397003",1458,368,74.7599451303155
"371","360470398002",1136,281,75.2640845070423
"372","360470399003",1080,277,74.3518518518518
"373","360470400003",1308,293,77.5993883792049
"374","360470401003",1549,424,72.6275016139445
"375","360470408003",1683,341,79.7385620915033
"376","360470409003",1181,162,86.2828111769687
"377","360470410002",1118,600,46.3327370304114
"378","360470411003",886,210,76.2979683972912
"379","360470413001",1193,274,77.0326906957251
"380","360811399001",695,184,73.5251798561151
"381","360811403002",1327,356,73.172569706104
"382","360811409022",1540,355,76.9480519480519
"383","360811417003",901,176,80.4661487236404
"384","360811429001",834,396,52.5179856115108
"385","360811429004",717,260,63.7377963737796
"386","360811467001",1325,498,62.4150943396226
"387","360811471001",1803,679,62.3405435385469
"388","360811479002",1480,847,42.7702702702703
"389","360811483001",955,363,61.9895287958115
"390","360811483004",674,517,23.2937685459941
"391","360811507013",659,382,42.0333839150228
"392","360811507023",860,482,43.953488372093
"393","360811529012",2706,579,78.6031042128603
"394","360811529022",1187,347,70.7666385846672
"395","360811551011",1945,1821,6.37532133676093
"396","360811551033",1121,526,53.0776092774309
"397","360811551042",1909,605,68.3080146673651
"398","360811571012",774,204,73.6434108527132
"399","360811571015",1123,223,80.1424755120214
"400","360811571018",887,241,72.8297632468997
"401","360811579033",1517,427,71.8523401450231
"402","360811617002",772,286,62.9533678756477
"403","360811621001",1182,192,83.756345177665
"404","360811621004",1032,294,71.5116279069768
"405","360470414011",783,537,31.4176245210728
